title,price,location,rooms,size
Residential Land,5300,"Al Amarat, Muscat",,645
Villa,125000,"Al Khoud, Muscat",9.0,400
Apartment,450000,"The Wave (Almouj), Muscat",2.0,185
Apartment,31750,"Bosher, Muscat",1.0,67
Villa,49000,"Al Maabilah, Muscat",3.0,176
Apartment,37000,"Al Maabilah, Muscat",2.0,140
Villa,25000,"Saham, Al Batinah",6.0,250
Residential Land,22500,"Al Amarat, Muscat",,450
Apartment,38500,"Al Mawaleh, Muscat",2.0,101
Apartment,41414,"Sultan Haitham City, Muscat",,52
Apartment,69815,"Sultan Haitham City, Muscat",2.0,98
Residential Land,2150,"Shinas, Al Batinah",,630
Villa,1406000,"Muscat - Other, Muscat",6.0,907
Apartment,85000,"Muscat Hills, Muscat",2.0,106
Residential Land,5000,"Saham, Al Batinah",,662
Residential Land,27000,"Salalah, Dhofar",,646
Residential Land,12000,"Al Rustaq, Al Batinah",,600
Villa,140000,"Al Khoud, Muscat",5.0,330
Apartment,40000,"Al Maabilah, Muscat",3.0,120
Apartment,28000,"Al Maabilah, Muscat",3.0,123
Apartment,495000,"The Wave (Almouj), Muscat",4.0,325
Villa,490000,"The Wave (Almouj), Muscat",5.0,519
Residential Land,7500,"Al Masn'a, Al Batinah",,529
Apartment,19000,"Al Maabilah, Muscat",2.0,100
Apartment,55000,"Salalah, Dhofar",,33
Residential Land,7000,"Al Amarat, Muscat",,600
Residential Land,13000,"Barka, Al Batinah",,600
Residential Land,35000,"Al Seeb, Muscat",,600
Chalet,181000,"Al Sifah, Muscat",2.0,144
Residential Land,10000,"Saham, Al Batinah",,1
Residential Land,4000,"Ibri, Al Dhahirah",,640
Residential Land,70000,"Bidbid, Al Dakhiliya",,2
Villa,201300,"Al Maabilah, Muscat",3.0,395
Residential Land,65000,"Al Rustaq, Al Batinah",,960
Villa,175000,"Al Maabilah, Muscat",4.0,333
Villa,175000,"Al Maabilah, Muscat",4.0,333
