title,price,location,rooms,size
Villa,66000,"Al Maabilah, Muscat",3.0,223.0
Residential Land,95000,"Bosher, Muscat",,439.0
Villa,25000,"Barka, Al Batinah",3.0,447.0
Apartment,320000,"Qantab, Muscat",3.0,361.0
Residential Land,145000,"Bosher, Muscat",,783.0
Villa,185000,"Al Ghubrah, Muscat",4.0,475.0
Residential Land,100,"Adam, Al Dakhiliya",,700.0
Apartment,110000,"Al Sifah, Muscat",2.0,124.0
Villa,137000,"Al Khoud, Muscat",5.0,420.0
Apartment,204000,"Sultan Haitham City, Muscat",4.0,272.0
Residential Land,48000,"Al Khaboura, Al Batinah",,4.0
Apartment,125000,"The Wave (Almouj), Muscat",1.0,110.0
Apartment,138000,"Qantab, Muscat",1.0,118.0
Villa,170650,"Salalah, Dhofar",2.0,133.0
Apartment,91180,"Qantab, Muscat",1.0,79.0
Apartment,25000,"Al Amarat, Muscat",2.0,95.0
Residential Land,18000,"Al Buraimi, Al Buraimi",,1.0
Residential Land,5000,"Izki, Al Dakhiliya",,600.0
Apartment,87735,"Al Seeb, Muscat",2.0,134.0
Apartment,94000,"The Wave (Almouj), Muscat",1.0,90.0
Villa,80000,"Al Khoud, Muscat",5.0,376.0
Apartment,98000,"The Wave (Almouj), Muscat",1.0,84.0
Apartment,80000,"The Wave (Almouj), Muscat",1.0,61.0
Villa,111700,"Sultan Haitham City, Muscat",3.0,194.0
Apartment,59500,"Muscat Hills, Muscat",1.0,74.0
Apartment,58000,"Al Sifah, Muscat",1.0,76.0
Villa,227700,"Al Maabilah, Muscat",5.0,444.0
Apartment,90085,"Yiti, Muscat",1.0,66.0
Villa,146000,"Bosher, Muscat",7.0,240.0
Villa,100000,"Al Khoud, Muscat",5.0,300.0
Residential Land,78000,"Nizwa, Al Dakhiliya",,750.0
Villa,143000,"Al Khoud, Muscat",5.0,378.0
Residential Land,100000,"Wadi Al Ma'awal, Al Batinah",,600.0
Apartment,110000,"Sultan Haitham City, Muscat",2.0,147.0
Apartment,75000,"Bosher, Muscat",2.0,103.0
Villa,115000,"Ansab, Muscat",5.0,340.0
Residential Land,9500,"Sumail, Al Dakhiliya",,600.0
Residential Land,200000,"Al Khoud, Muscat",,500.0
Apartment,8500,"Al Seeb, Muscat",1.0,44.0
Villa,75000,"Bosher, Muscat",7.0,332.0
Villa,55000,"Ibra, Al Sharqiya",11.0,300.0
Apartment,55000,"Qurum, Muscat",3.0,94.0
Villa,335850,"Salalah, Dhofar",4.0,243.0
Residential Land,20500,"Barka, Al Batinah",,589.0
Residential Land,115000,"Al Mawaleh, Muscat",,600.0
Residential Land,70000,"Al Amarat, Muscat",,666.0
Apartment,88500,"Muscat Hills, Muscat",2.0,111.0
Apartment,58000,"Azaiba, Muscat",2.0,117.0
Residential Land,1000,"Al Amarat, Muscat",,600.0
Apartment,20000,"Barka, Al Batinah",3.0,156.0
Apartment,92000,"Muscat Hills, Muscat",2.0,117.0
Villa,87000,"Nizwa, Al Dakhiliya",6.0,525.0
Residential Land,140,"Barka, Al Batinah",,17.0
Residential Land,7300,"Bahla, Al Dakhiliya",,835.0
Residential Land,1010,"Al Maabilah, Muscat",,6.0
Residential Land,13500,"Bahla, Al Dakhiliya",,630.0
Residential Land,4000,"Al Rustaq, Al Batinah",,500.0
Apartment,30000,"Bosher, Muscat",1.0,60.0
Residential Land,4500,"Al Amarat, Muscat",,600.0
Residential Land,10000,"Barka, Al Batinah",,600.0
Apartment,58000,"Al Sifah, Muscat",1.0,64.0
Residential Land,23000,"Barka, Al Batinah",,600.0
Villa,176000,"Al Maabilah, Muscat",3.0,240.0
Residential Land,6000,"Al Mudaibi, Al Sharqiya",,600.0
Residential Land,12500,"Masira, Al Sharqiya",,1.0
Apartment,39000,"Al Hail, Muscat",1.0,79.0
Residential Land,12500,"Ibri, Al Dhahirah",,1.0
Apartment,165000,"The Wave (Almouj), Muscat",1.0,83.0
Villa,406960,"Qantab, Muscat",3.0,426.0
Apartment,46150,"Sultan Haitham City, Muscat",1.0,71.0
Residential Land,55000,"Barka, Al Batinah",,1.0
Residential Land,65000,"Al Seeb, Muscat",,827.0
Villa,112000,"Al Khoud, Muscat",6.0,390.0
Apartment,50000,"Bosher, Muscat",3.0,122.0
Villa,115000,"Qurum, Muscat",4.0,260.0
Villa,150000,"Azaiba, Muscat",7.0,460.0
Apartment,74000,"Salalah, Dhofar",2.0,61.0
Residential Land,5000,"Al Buraimi, Al Buraimi",,624.0
Residential Land,63000,"Barka, Al Batinah",,1.0
Apartment,100000,"Salalah, Dhofar",1.0,85.0
Villa,190000,"Ansab, Muscat",6.0,527.0
Villa,70000,"Al Amarat, Muscat",5.0,534.0
Apartment,103000,"Muscat Hills, Muscat",2.0,168.0
Villa,50000,"Barka, Al Batinah",3.0,176.0
Villa,50000,"Sohar, Al Batinah",2.0,610.0
Residential Land,55000,"Al Qabil, Al Sharqiya",,6.0
Residential Land,14000,"Al 'Awabi, Al Batinah",,500.0
Apartment,50070,"Sultan Haitham City, Muscat",1.0,67.0
Villa,330000,"Muscat Hills, Muscat",4.0,280.0
Apartment,248000,"The Wave (Almouj), Muscat",3.0,245.0
Residential Land,14900,"Ja'alan Bani Bu Ali, Al Sharqiya",,656.0
Apartment,144554,"Yiti, Muscat",2.0,117.0
Apartment,26000,"Al Maabilah, Muscat",2.0,102.0
Villa,65000,"Al Amarat, Muscat",5.0,300.0
Chalet,78500,"Barka, Al Batinah",2.0,150.0
Villa,125000,"Al Mawaleh, Muscat",4.0,634.0
Apartment,35500,"Bosher, Muscat",1.0,79.0
Apartment,29000,"Bosher, Muscat",1.0,67.0
Villa,178000,"Al Maabilah, Muscat",5.0,249.0
Residential Land,20000,"Barka, Al Batinah",,479.0
Apartment,41600,"Sultan Haitham City, Muscat",,56.0
Residential Land,18000,"Barka, Al Batinah",,600.0
Apartment,35000,"Ghala, Muscat",1.0,67.0
Apartment,27000,"Mirbat, Dhofar",2.0,70.0
Residential Land,38500,"Al Maabilah, Muscat",,600.0
Residential Land,57000,"Al Seeb, Muscat",,119.0
Villa,185000,"The Wave (Almouj), Muscat",2.0,128.0
Residential Land,5150,"Barka, Al Batinah",,609.0
Apartment,65000,"Muscat Hills, Muscat",,46.0
Apartment,95326,"Yiti, Muscat",1.0,59.0
Residential Land,10000,"Saham, Al Batinah",,600.0
Villa,950000,"Qantab, Muscat",5.0,750.0
Apartment,140375,"Qantab, Muscat",2.0,115.0
Villa,356040,"Qantab, Muscat",3.0,357.0
Apartment,140000,"Al Sifah, Muscat",2.0,159.0
Chalet,205000,"Al Sifah, Muscat",3.0,177.0
Apartment,70850,"Sultan Haitham City, Muscat",2.0,109.0
Apartment,204000,"Sultan Haitham City, Muscat",4.0,272.0
Apartment,163050,"Sultan Haitham City, Muscat",3.0,217.0
Villa,154000,"Sultan Haitham City, Muscat",3.0,209.0
Apartment,29500,"Al Khoud, Muscat",1.0,60.0
Residential Land,133000,"Al Maabilah, Muscat",,400.0
Residential Land,20000,"Al Amarat, Muscat",,612.0
Apartment,110000,"The Wave (Almouj), Muscat",1.0,88.0
Apartment,72000,"Muscat Hills, Muscat",2.0,108.0
Residential Land,14900,"Barka, Al Batinah",,300.0
Apartment,41000,"Sultan Haitham City, Muscat",,71.0
Residential Land,10900,"Al Amarat, Muscat",,675.0
Apartment,43000,"Al Khoud, Muscat",2.0,110.0
Apartment,67000,"Muscat Hills, Muscat",1.0,96.0
Apartment,39000,"Azaiba, Muscat",2.0,98.0
Residential Land,170000,"Ibra, Al Sharqiya",,75.0
Villa,900000,"Al Hail, Muscat",3.0,1.0
Apartment,30000,"Bosher, Muscat",1.0,57.0
Residential Land,11000,"Ibri, Al Dhahirah",,1.0
Apartment,68000,"Bosher, Muscat",3.0,165.0
Villa,45500,"Al Khaboura, Al Batinah",3.0,235.0
Residential Land,180000,"Al Mawaleh, Muscat",,900.0
Apartment,54000,"Azaiba, Muscat",2.0,101.0
Apartment,56500,"Al Maabilah, Muscat",1.0,50.0
Apartment,300000,"Muscat - Other, Muscat",3.0,100.0
Villa,111700,"Sultan Haitham City, Muscat",3.0,194.0
Apartment,50000,"Sultan Haitham City, Muscat",1.0,75.0
Apartment,220000,"Qantab, Muscat",2.0,199.0
Villa,140000,"Al Mawaleh, Muscat",6.0,600.0
Apartment,298000,"Qantab, Muscat",3.0,355.0
Villa,224000,"Muscat Hills, Muscat",3.0,280.0
Villa,583890,"Qantab, Muscat",4.0,422.0
Residential Land,200000,"Misfah, Muscat",,1.0
Villa,90000,"Al Khoud, Muscat",5.0,293.0
Apartment,45500,"Salalah, Dhofar",,38.0
Villa,666000,"The Wave (Almouj), Muscat",7.0,524.0
Residential Land,50000,"Ibra, Al Sharqiya",,2.0
Apartment,60486,"Bosher, Muscat",2.0,114.0
Apartment,60995,"Bosher, Muscat",2.0,100.0
Apartment,89255,"Yiti, Muscat",1.0,58.0
Residential Land,180000,"Al Seeb, Muscat",,1.0
Apartment,139000,"The Wave (Almouj), Muscat",1.0,118.0
Apartment,470486,"The Wave (Almouj), Muscat",2.0,203.0
Residential Land,70000,"Ruwi, Muscat",,531.0
Apartment,57000,"Al Hail, Muscat",2.0,165.0
Residential Land,355000,"Al Maabilah, Muscat",,1.0
Apartment,117000,"Al Sifah, Muscat",2.0,124.0
Apartment,135000,"Al Sifah, Muscat",3.0,157.0
Apartment,48100,"Sultan Haitham City, Muscat",1.0,74.0
Apartment,133000,"The Wave (Almouj), Muscat",1.0,83.0
Villa,60000,"Dima and Al Taaiyin, Al Sharqiya",4.0,1.0
Apartment,38000,"Sultan Haitham City, Muscat",1.0,52.0
Residential Land,2300,"Ibri, Al Dhahirah",,600.0
Apartment,846945,"The Wave (Almouj), Muscat",4.0,383.0
Apartment,88289,"Yiti, Muscat",1.0,66.0
Apartment,72100,"Salalah, Dhofar",1.0,78.0
Villa,427400,"Qantab, Muscat",4.0,422.0
Residential Land,11500,"Saham, Al Batinah",,1.0
Apartment,20000,"Salalah, Dhofar",2.0,83.0
Villa,27000,"Al Masn'a, Al Batinah",4.0,195.0
Apartment,144000,"The Wave (Almouj), Muscat",2.0,125.0
Apartment,318173,"The Wave (Almouj), Muscat",1.0,140.0
Villa,149000,"Al Mawaleh, Muscat",5.0,601.0
Villa,75000,"Salalah, Dhofar",1.0,77.0
Villa,65000,"Salalah, Dhofar",1.0,78.0
Villa,70000,"Salalah, Dhofar",1.0,78.0
Apartment,47000,"Salalah, Dhofar",1.0,64.0
Villa,45000,"Al Amarat, Muscat",3.0,600.0
Apartment,35500,"Bosher, Muscat",1.0,79.0
Apartment,599600,"Muscat - Other, Muscat",3.0,262.0
Villa,80000,"Al Amarat, Muscat",6.0,450.0
Apartment,90018,"Yiti, Muscat",2.0,93.0
Apartment,50000,"Salalah, Dhofar",1.0,40.0
Apartment,55070,"Sultan Haitham City, Muscat",2.0,114.0
Apartment,49020,"Sultan Haitham City, Muscat",1.0,72.0
Apartment,77250,"Salalah, Dhofar",1.0,76.0
Apartment,144900,"The Wave (Almouj), Muscat",2.0,119.0
Apartment,70000,"Madinat As Sultan Qaboos, Muscat",2.0,132.0
Villa,68000,"Al Seeb, Muscat",4.0,260.0
Apartment,74000,"Yiti, Muscat",1.0,83.0
Apartment,50070,"Sultan Haitham City, Muscat",1.0,67.0
Residential Land,5000,"Ibri, Al Dhahirah",,600.0
Residential Land,75000,"Bosher, Muscat",,600.0
Residential Land,22000,"Al Masn'a, Al Batinah",,4.0
Apartment,145000,"The Wave (Almouj), Muscat",2.0,127.0
Villa,214500,"Al Maabilah, Muscat",4.0,411.0
